0
"(1, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('14.83'), datetime.datetime(2025, 6, 3, 13, 51, 41), Decimal('90.88'), 1)"
"(2, datetime.datetime(2025, 6, 3, 16, 38, 35), Decimal('13.66'), datetime.datetime(2025, 6, 3, 14, 58, 34), Decimal('94.08'), 2)"
"(3, datetime.datetime(2025, 6, 3, 16, 38, 35), Decimal('15.29'), datetime.datetime(2025, 6, 3, 13, 58, 19), Decimal('90.43'), 3)"
"(4, datetime.datetime(2025, 6, 3, 16, 38, 35), Decimal('15.93'), datetime.datetime(2025, 6, 3, 14, 56, 7), Decimal('94.18'), 4)"
"(5, datetime.datetime(2025, 6, 3, 16, 38, 34), Decimal('16.24'), datetime.datetime(2025, 6, 3, 13, 57, 8), Decimal('90.70'), 5)"
"(6, datetime.datetime(2025, 6, 3, 16, 38, 35), Decimal('14.67'), datetime.datetime(2025, 6, 3, 13, 3, 31), Decimal('88.01'), 6)"
"(7, datetime.datetime(2025, 6, 3, 16, 38, 35), Decimal('15.42'), datetime.datetime(2025, 6, 3, 13, 33, 20), Decimal('88.92'), 7)"
"(8, datetime.datetime(2025, 6, 3, 16, 38, 35), Decimal('11.90'), datetime.datetime(2025, 6, 3, 14, 19, 58), Decimal('91.68'), 8)"
"(9, datetime.datetime(2025, 6, 3, 16, 38, 35), Decimal('13.30'), datetime.datetime(2025, 6, 3, 14, 15, 42), Decimal('91.49'), 9)"
"(10, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('15.71'), datetime.datetime(2025, 6, 3, 13, 32, 16), Decimal('89.58'), 10)"
"(11, datetime.datetime(2025, 6, 3, 16, 38, 35), Decimal('15.01'), datetime.datetime(2025, 6, 3, 13, 34, 25), Decimal('88.96'), 11)"
"(12, datetime.datetime(2025, 6, 3, 16, 38, 35), Decimal('14.25'), datetime.datetime(2025, 6, 3, 14, 46, 28), Decimal('93.52'), 12)"
"(13, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('14.20'), datetime.datetime(2025, 6, 3, 13, 28, 35), Decimal('89.57'), 13)"
"(14, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('15.40'), datetime.datetime(2025, 6, 3, 14, 17, 16), Decimal('91.71'), 14)"
"(15, datetime.datetime(2025, 6, 3, 16, 38, 35), Decimal('16.29'), datetime.datetime(2025, 6, 3, 14, 2, 7), Decimal('86.59'), 15)"
"(16, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('15.61'), datetime.datetime(2025, 6, 3, 13, 10, 19), Decimal('88.52'), 16)"
"(17, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('12.43'), datetime.datetime(2025, 6, 3, 14, 39, 50), Decimal('93.41'), 17)"
"(18, datetime.datetime(2025, 6, 3, 16, 38, 37), Decimal('11.69'), datetime.datetime(2025, 6, 3, 14, 41, 59), Decimal('93.46'), 18)"
"(19, datetime.datetime(2025, 6, 3, 16, 38, 37), Decimal('15.10'), datetime.datetime(2025, 6, 3, 14, 11, 20), Decimal('91.47'), 19)"
"(20, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('14.67'), datetime.datetime(2025, 6, 3, 13, 2, 31), Decimal('87.49'), 20)"
"(21, datetime.datetime(2025, 6, 3, 16, 38, 36), Decimal('13.54'), datetime.datetime(2025, 6, 3, 13, 2, 45), Decimal('87.77'), 21)"
